collection_id,accuracy,data_size,n_heel_strike,n_foot_flat,n_heel_off,n_toe_off,label,precision,recall,f1-score,support
WXV9KsqM8nfXTpUrOuQy_5_R,0.9658119658119658,234,0,91,47,96,heel off,1.0,0.851063829787234,0.9195402298850575,47.0
WXV9KsqM8nfXTpUrOuQy_5_R,0.9658119658119658,234,0,91,47,96,toe off,0.9896907216494846,1.0,0.9948186528497409,96.0
WXV9KsqM8nfXTpUrOuQy_5_R,0.9658119658119658,234,0,91,47,96,micro avg,0.9699570815450643,0.9658119658119658,0.9678800856531049,234.0
X4vkHC3Brl05xf3pkVOq_10_L,0.7473684210526316,190,0,91,21,78,foot flat,1.0,0.5604395604395604,0.7183098591549296,91.0
X4vkHC3Brl05xf3pkVOq_10_L,0.7473684210526316,190,0,91,21,78,heel off,0.24528301886792453,0.6190476190476191,0.35135135135135137,21.0
X4vkHC3Brl05xf3pkVOq_10_L,0.7473684210526316,190,0,91,21,78,toe off,0.9069767441860465,1.0,0.9512195121951219,78.0
X4vkHC3Brl05xf3pkVOq_8_L,0.8860103626943006,193,6,45,57,85,heel strike,0.0,0.0,0.0,6.0
X4vkHC3Brl05xf3pkVOq_8_L,0.8860103626943006,193,6,45,57,85,foot flat,0.6923076923076923,1.0,0.8181818181818182,45.0
X4vkHC3Brl05xf3pkVOq_8_L,0.8860103626943006,193,6,45,57,85,heel off,1.0,0.7192982456140351,0.8367346938775511,57.0
X4vkHC3Brl05xf3pkVOq_8_L,0.8860103626943006,193,6,45,57,85,toe off,0.9770114942528736,1.0,0.9883720930232558,85.0
XOeQVwXumYb2BH4rqcCj_4_L,0.8429319371727748,191,10,46,54,81,heel strike,0.0,0.0,0.0,10.0
XOeQVwXumYb2BH4rqcCj_4_L,0.8429319371727748,191,10,46,54,81,foot flat,0.6571428571428571,1.0,0.7931034482758621,46.0
XOeQVwXumYb2BH4rqcCj_4_L,0.8429319371727748,191,10,46,54,81,heel off,0.8695652173913043,0.7407407407407407,0.8,54.0
XOeQVwXumYb2BH4rqcCj_4_L,0.8429319371727748,191,10,46,54,81,toe off,1.0,0.9259259259259259,0.9615384615384616,81.0
XOeQVwXumYb2BH4rqcCj_8_L,0.8783068783068783,189,0,57,53,79,foot flat,0.7307692307692307,1.0,0.8444444444444444,57.0
XOeQVwXumYb2BH4rqcCj_8_L,0.8783068783068783,189,0,57,53,79,heel off,0.9411764705882353,0.6037735849056604,0.735632183908046,53.0
XOeQVwXumYb2BH4rqcCj_8_L,0.8783068783068783,189,0,57,53,79,toe off,1.0,0.9746835443037974,0.9871794871794872,79.0
XOeQVwXumYb2BH4rqcCj_9_R,0.8789473684210526,190,8,69,36,77,heel strike,0.0,0.0,0.0,8.0
XOeQVwXumYb2BH4rqcCj_9_R,0.8789473684210526,190,8,69,36,77,foot flat,0.7840909090909091,1.0,0.8789808917197452,69.0
XOeQVwXumYb2BH4rqcCj_9_R,0.8789473684210526,190,8,69,36,77,heel off,0.8620689655172413,0.6944444444444444,0.7692307692307693,36.0
XOeQVwXumYb2BH4rqcCj_9_R,0.8789473684210526,190,8,69,36,77,toe off,1.0,0.948051948051948,0.9733333333333334,77.0
XTtBR3ZFfn7oabEDf7PU_4_L,0.968421052631579,190,0,71,30,89,foot flat,0.9861111111111112,1.0,0.993006993006993,71.0
XTtBR3ZFfn7oabEDf7PU_4_L,0.968421052631579,190,0,71,30,89,heel off,0.8529411764705882,0.9666666666666667,0.90625,30.0
XTtBR3ZFfn7oabEDf7PU_4_L,0.968421052631579,190,0,71,30,89,toe off,1.0,0.9438202247191011,0.9710982658959537,89.0
YnKnDmcDoTUiuqYmetkm_10_L,0.964824120603015,199,2,70,42,85,heel strike,0.5,1.0,0.6666666666666666,2.0
YnKnDmcDoTUiuqYmetkm_10_L,0.964824120603015,199,2,70,42,85,foot flat,1.0,0.9428571428571428,0.9705882352941176,70.0
YnKnDmcDoTUiuqYmetkm_10_L,0.964824120603015,199,2,70,42,85,heel off,0.8936170212765957,1.0,0.9438202247191011,42.0
YnKnDmcDoTUiuqYmetkm_10_L,0.964824120603015,199,2,70,42,85,toe off,1.0,0.9647058823529412,0.9820359281437125,85.0
YnKnDmcDoTUiuqYmetkm_8_L,0.8787878787878788,198,12,41,61,84,heel strike,1.0,0.4166666666666667,0.5882352941176471,12.0
YnKnDmcDoTUiuqYmetkm_8_L,0.8787878787878788,198,12,41,61,84,foot flat,0.640625,1.0,0.780952380952381,41.0
YnKnDmcDoTUiuqYmetkm_8_L,0.8787878787878788,198,12,41,61,84,heel off,0.9782608695652174,0.7377049180327869,0.8411214953271028,61.0
YnKnDmcDoTUiuqYmetkm_8_L,0.8787878787878788,198,12,41,61,84,toe off,1.0,0.9880952380952381,0.9940119760479041,84.0
YpmqjrY2TKwGYkMciRWN_10_R,0.9560975609756097,205,1,72,48,84,heel strike,0.3333333333333333,1.0,0.5,1.0
YpmqjrY2TKwGYkMciRWN_10_R,0.9560975609756097,205,1,72,48,84,foot flat,0.9090909090909091,0.9722222222222222,0.9395973154362416,72.0
YpmqjrY2TKwGYkMciRWN_10_R,0.9560975609756097,205,1,72,48,84,heel off,1.0,0.8541666666666666,0.9213483146067416,48.0
YpmqjrY2TKwGYkMciRWN_10_R,0.9560975609756097,205,1,72,48,84,toe off,1.0,1.0,1.0,84.0
YpmqjrY2TKwGYkMciRWN_12_R,0.9238095238095239,210,8,81,41,80,heel strike,1.0,0.375,0.5454545454545454,8.0
